Unnamed: 0,PERNO DE RUEDA,Unnamed: 1,Unnamed: 2,TUERCA CAMPANA
CÓDIGO,EMP.,P. V.,P. V.,CÓDIGO A310540
,CAJA,,,
COMPLETO,(uds.),CL. 10.9,CL. 12.9,EMP. (uds.) 5
AA/A291620,5 50 JGO,$4.86,,CAJA 125 PZA
,,,,P. V. $1.57
