Unnamed: 0,Unnamed: 1,PERNO DE RUEDA,Unnamed: 2,Unnamed: 3,TUERCA PAVONADA,TUERCA CINCADA
,,EMP.,P. V.,P. V.,CÓDIGO A010037,CÓDIGO A010036
,CÓDIGO,CAJA,,,,
,,(uds.),CL. 10.9,CL. 12.9,EMP. (uds.) 25,EMP. (uds.) 25
SOLO,AA/A050539,25 500 PZA,$0.63,,CAJA 600 PZA,CAJA 600 PZA
COMP.,AA/A020539,25 JGO,$0.84,,P. V. $0.21,P. V. $0.21
