AB2B000008,AB2B100008,25x131,Unnamed: 0,D,FOTON,"1069, 1099",2,24,$5.45,$7.80
,,,,,,"OMNIBUS,",,,,
AB2B000001,AB2B100001,"1""x156","Ø1"" x Ø1 1/4"" x 88",D,VW,,2.0,24.0,$6.88,$10.77
