Unnamed: 0,PERNO DE RUEDA,Unnamed: 1,Unnamed: 2,TUERCA CAMPANA
CÓDIGO,EMP.,P. V.,P. V.,CÓDIGO R/L
,CAJA,,,
COMPLETO R/L,(uds.),CL. 10.9,CL. 12.9,EMP. (uds.)
