Unnamed: 0,Unnamed: 1,PERNO DE RUEDA,Unnamed: 2,Unnamed: 3,TUERCA
,,EMP.,P. V.,P. V.,CÓDIGO A010026
,CÓDIGO,CAJA,,,
,,(uds.),CL. 10.9,CL. 12.9,EMP. (uds.) 25
SOLO,AA/A050526,25 300 PZA,$0.79,,CAJA 1500 PZA
COMP.,AA/A020526,25 JGO,$0.98,,P. V. $0.19
