Unnamed: 0,PERNO DE RUEDA,Unnamed: 1,Unnamed: 2,TUERCA SOMBRERO
CÓDIGO,EMP.,P. V.,P. V.,CÓDIGO A310113
,CAJA,,,
COMPLETO,(uds.),CL. 10.9,CL. 12.9,EMP. (uds.)
AA/A295812,5 JGO,$4.37,,CAJA
,,,,P. V.
