Unnamed: 0,PERNO DE RUEDA,Unnamed: 1,Unnamed: 2,TUERCA CAMPANA
CÓDIGO,EMP.,P. V.,P. V.,CÓDIGO A310517
,CAJA,,,
COMPLETO,(uds.),CL. 10.9,CL. 12.9,EMP. (uds.) 5
AA/A366021,5 50 JGO,$4.20,$5.61,CAJA 80 PZA
,,,,P. V. $1.70
