Unnamed: 0,PERNO DE RUEDA,Unnamed: 1,Unnamed: 2,TUERCA CAMPANA,CONTRATUERCA
CÓDIGO,EMP.,P. V.,P. V.,CÓDIGO A310514,CÓDIGO E080214
,CAJA,,,,
COMPLETO,(uds.),CL. 10.9,CL. 12.9,EMP. (uds.) 5,EMP. (uds.)
