Unnamed: 0,Unnamed: 1,PERNO DE RUEDA,Unnamed: 2,Unnamed: 3,TUERCA
,,EMP.,P. V.,P. V.,CÓDIGO A010031
,CÓDIGO,CAJA,,,
,,(uds.),CL. 10.9,CL. 12.9,EMP. (uds.) 25
SOLO,AA/A050560,25 400 PZA,$0.81,,CAJA 600 PZA
COMP.,AA/A020560,25 JGO,$1.01,,P. V. $0.20
