PERNO DE RUEDA MOTOCARGUERO CL. 10.9,,,,,,,
DESCRIPCIÓN,"CÓDIGO
SOLO","P. V.
SOLO","CÓDIGO
COMPLETO","P. V.
COMPLETO",EMP.,ROSCA,"LARGO
(mm.)"
Perno Motocarguero M12 X 38,BM351238,$0.70,BM355238,$0.91,100 JGO,M 12 X 1.25,38
Perno Motocarguero M14 X 40,BM351440,$0.96,,,,M 14 X 1.50,40
PRECIO DE VENTA POR PIEZA (INCLUYE IGV),,,,,,,
