,,,,,,,,,,Imagen referencial,,
PIN DE GRILLETE DE MUELLE CL. 10.9 - 1 MUESCA CON ROSCA,,,,,,,,,,,,
"CÓDIGO
SOLO","CÓDIGO
COMPLETO","PIN
(mm.)","BOCINA
(mm.)",GRAS.,POS.,MARCA,MODELO,"EMP.
(uds.)","CAJA
(uds.)",,"SOLO
V. V.","COMP.
V. V."
AB2F000003,AB2F100003,28x112x127,Ø28 x Ø34 x 68,GM,D,FUSO,"FIGHTER, CANTER",2,24,,$6.50,$9.43
AB2F000004,AB2F100004,28x120x135,Ø28 x Ø34 x 68,GM,P,FUSO/HYUNDAI,"CANTER, HD
65/72/78",2,24,,$6.93,$9.85
AB2F000005,AB2F100005,28x139x154,Ø28 x Ø34 x 68,GM,P,FUSO/HYUNDAI,"CANTER, HD
65/72/78",2,24,,$7.92,$10.84
AB2F000001,AB2F100001,30x158,30 X 38 X 78,GM,P,HINO,500,2,24,,$9.48,$14.54
AB2F000002,AB2F100002,38x160,38 X 46 X 88,GM,P,HINO,500,2,24,,$15.38,$20.13
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,,,,,,,,,
GM: Grasera en la cara de la muesca,,,,,,,,,,,,
