PERNO CHUPÓN R/L,,,,,,
CÓDIGO,DESCRIPCIÓN,"ROSCA
INTERNA","ROSCA
EXTERNA","EMP.
(uds.)",CAJA,P. V.
A072010/11,"VOLVO, FORD, INTERNATIONAL, MACK","3/4"" - 16 UNF","1 1/8"" - 16",5,120 PZA,$2.55
A075120/21,"FUSO CANTER, FUSO ROSA, ASIA",M19 x 1.50,M28 x 1.50,5,140 PZA,$2.29
A075110/11,"FUSO, TOYOTA COASTER, DYNA, ISUZU
NPR, NISSAN CONDOR, HINO, ASIA
COSMOS",M20 x 1.50,M30 x 1.50,5,140 PZA,$2.80
A075124/25,MAZDA,M18 x 1.50,M27 x 1.50,5,140 PZA,$2.40
A075130/31,NISSAN CIVILIAN,M18 x 1.50,M25 x 1.50,5,160 PZA,$2.30
A075132/33,"ISUZU, ASIA COMBI",M16 x 1.50,M25 x 1.50,5,100 PZA,$2.18
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,,,
