EJE DE MOTO CL. 5.8 PAVONADO,,,,,,,,
DESCRIPCIÓN,"CÓDIGO
SOLO","P. V.
SOLO","CÓDIGO
COMPLETO","P. V.
COMPLETO",EMP.,ROSCA,"LARGO
(mm.)","Ø EJE
(mm.)"
Delantero XL / GL / Post C - 50,BM500116,$1.68,BM505116,$0.11,100 JGO,M 12 X 1.25,210,12
Posterior CB / CG,BM500219,$2.96,BM505219,$0.22,60 JGO,M 14 X 1.50,235,15
Trapecio CB / CG,BM500320,$1.88,BM505320,$0.11,30 JGO,M 12 X 1.25,254,12
Trapecio GL,BM500322,$1.98,BM505322,$0.11,50 JGO,M 12 X 1.25,270,12
Trapecio CG Evolution,BM500324,$2.86,BM505324,$0.22,30 JGO,M 14 X 1.50,257,14
PRECIO DE VENTA POR PIEZA (INCLUYE IGV),,,,,,,,
