PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,01,"1/2"""
PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,02,"5/8"""
PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,03,"3/4"""
PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,04,"1"""
PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,05,"1 1/4"""
PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,06,"1 1/2"""
PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,08,"2"""
PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,10,"2 1/2"""
PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,12,"3"""
PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,13,"3 1/4"""
PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,14,"3 1/2"""
PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,16,"4"""
PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,18,"4 1/2"""
PERNO HEXAGONAL PULGADA UNC - GR. 2 CINCADO,20,"5"""
