"TORNILLO AUTOPERFORANTE CAB. HEX. CON ARANDELA",08,"1/2"""
"TORNILLO AUTOPERFORANTE CAB. HEX. CON ARANDELA",12,"3/4"""
"TORNILLO AUTOPERFORANTE CAB. HEX. CON ARANDELA",16,"1"""
"TORNILLO AUTOPERFORANTE CAB. HEX. CON ARANDELA",26,"1 1/2"""
"TORNILLO AUTOPERFORANTE CAB. HEX. CON ARANDELA",32,"2"""
"TORNILLO AUTOPERFORANTE CAB. HEX. CON ARANDELA",34,"2 1/2"""
"TORNILLO AUTOPERFORANTE CAB. HEX. CON ARANDELA",36,"3"""
"TORNILLO AUTOPERFORANTE CAB. HEX. CON ARANDELA",56,"3 1/2"""
"TORNILLO AUTOPERFORANTE CAB. HEX. CON ARANDELA",64,"4"""
"TORNILLO AUTOPERFORANTE CAB. HEX. CON ARANDELA",80,"5"""
