PERNO ESTRUCTURAL PAVONADO - ASTM A325,04,"1"""
PERNO ESTRUCTURAL PAVONADO - ASTM A325,05,"1 1/4"""
PERNO ESTRUCTURAL PAVONADO - ASTM A325,06,"1 1/2"""
PERNO ESTRUCTURAL PAVONADO - ASTM A325,07,"1 3/4"""
PERNO ESTRUCTURAL PAVONADO - ASTM A325,08,"2"""
PERNO ESTRUCTURAL PAVONADO - ASTM A325,09,"2 1/4"""
PERNO ESTRUCTURAL PAVONADO - ASTM A325,10,"2 1/2"""
PERNO ESTRUCTURAL PAVONADO - ASTM A325,11,"2 3/4"""
PERNO ESTRUCTURAL PAVONADO - ASTM A325,12,"3"""
PERNO ESTRUCTURAL PAVONADO - ASTM A325,13,"3 1/4"""
PERNO ESTRUCTURAL PAVONADO - ASTM A325,14,"3 1/2"""
PERNO ESTRUCTURAL PAVONADO - ASTM A325,15,"3 3/4"""
