PERNO CAB. COCHE PULGADA UNC - AC. INOX 304,03,"3/4"""
PERNO CAB. COCHE PULGADA UNC - AC. INOX 304,04,"1"""
PERNO CAB. COCHE PULGADA UNC - AC. INOX 304,05,"1 1/4"""
PERNO CAB. COCHE PULGADA UNC - AC. INOX 304,06,"1 1/2"""
PERNO CAB. COCHE PULGADA UNC - AC. INOX 304,08,"2"""
PERNO CAB. COCHE PULGADA UNC - AC. INOX 304,10,"2 1/2"""
PERNO CAB. COCHE PULGADA UNC - AC. INOX 304,12,"3"""
PERNO CAB. COCHE PULGADA UNC - AC. INOX 304,14,"3 1/2"""
PERNO CAB. COCHE PULGADA UNC - AC. INOX 304,16,"4"""
PERNO CAB. COCHE PULGADA UNC - AC. INOX 304,18,"4 1/2"""
PERNO CAB. COCHE PULGADA UNC - AC. INOX 304,20,"5"""
