ARANDELA PLANA MÉTRICA TROPICALIZADA,,05,M5,6.40,12.00,1.50
ARANDELA PLANA MÉTRICA TROPICALIZADA,,06,M6,6.40,12.00,1.50
ARANDELA PLANA MÉTRICA TROPICALIZADA,,08,M8,8.40,16.00,1.50
ARANDELA PLANA MÉTRICA TROPICALIZADA,,10,M10,10.50,19.50,2.00
ARANDELA PLANA MÉTRICA TROPICALIZADA,,12,M12,13.00,23.50,2.50
ARANDELA PLANA MÉTRICA TROPICALIZADA,,14,M14,15.00,28.00,2.50
ARANDELA PLANA MÉTRICA TROPICALIZADA,,16,M16,17.00,29.50,3.00
ARANDELA PLANA MÉTRICA TROPICALIZADA,,18,M18,19.00,33.50,3.00
ARANDELA PLANA MÉTRICA TROPICALIZADA,,20,M20,21.00,36.00,3.00
ARANDELA PLANA MÉTRICA TROPICALIZADA,,22,M22,23.00,38.50,3.00
ARANDELA PLANA MÉTRICA TROPICALIZADA,,24,M24,25.00,43.50,4.00
ARANDELA PLANA MÉTRICA TROPICALIZADA,,27,M27,28.00,49.50,4.00
ARANDELA PLANA MÉTRICA TROPICALIZADA,,30,M30,31.00,55.50,4.00
