BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,06
BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,08
BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,10
BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,12
BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,14
BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,16
BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,18
BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,20
BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,22
BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,24
BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,26
BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,28
BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,30
BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7,,32
