PERNO DE EXPANSIÓN,07,"1 3/4"""
PERNO DE EXPANSIÓN,09,"2 1/4"""
PERNO DE EXPANSIÓN,11,"2 3/4"""
PERNO DE EXPANSIÓN,12,"3"""
PERNO DE EXPANSIÓN,13,"3 1/4"""
PERNO DE EXPANSIÓN,14,"3 1/2"""
PERNO DE EXPANSIÓN,15,"3 3/4"""
PERNO DE EXPANSIÓN,16,"4"""
PERNO DE EXPANSIÓN,17,"4 1/4"""
PERNO DE EXPANSIÓN,18,"4 1/2"""
PERNO DE EXPANSIÓN,19,"4 3/4"""
PERNO DE EXPANSIÓN,20,"5"""
PERNO DE EXPANSIÓN,22,"5 1/2"""
PERNO DE EXPANSIÓN,24,"6"""
PERNO DE EXPANSIÓN,25,"6 1/4"""
PERNO DE EXPANSIÓN,28,"7"""
PERNO DE EXPANSIÓN,32,"8"""
PERNO DE EXPANSIÓN,34,"8 1/2"""
PERNO DE EXPANSIÓN,36,"9"""
PERNO DE EXPANSIÓN,40,"10"""
PERNO DE EXPANSIÓN,48,"12"""
