DELETE,TUERCA HEXAGONAL MÉTRICA RC - AC. INOX 316,,,,,,,,,,
,,,04,05,06,08,10,12,14,16,18
,CÓD.,,Ø M4,Ø M5,Ø M6,Ø M8,Ø M10,Ø M12,Ø M14,Ø M16,Ø M18
,I6M0200,,,,$4.67,$10.79,$24.69,$35.38,,$67.33,
,,,,,100 CTO,50 CTO,24 CTO,15 CTO,,8 CTO,
,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
