DELETE,ARANDELA PLANA ESTÁNDAR MÉTRICO RC - CL. 5.8 TROPICALIZADO,,,,,,
,,,05,06,08,10,12
,CÓD.,,Ø M5,Ø M6,Ø M8,Ø M10,Ø M12
,M1209,,,$0.55,$0.96,$1.70,$3.14
,,,,CTO,CTO,CTO,CTO
,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
