DELETE,TUERCA HEXAGONAL MÉTRICA RC - AC. INOX 304,,,,
,,,20,24,30
,CÓD.,,Ø M20,Ø M24,Ø M30
,I4M0220,,$136.84,$246.94,
,,,4 CTO,2.5 CTO,
,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,
