DELETE,BARRA ROSCADA MÉTRICA ZINCADA 1 M.,,,,,,,,
,,,06,08,10,12,14,16,20
,CÓD.,,Ø M6,Ø M8,Ø M10,Ø M12,Ø M14,Ø M16,Ø M20
,M2800,,$0.64,$1.19,$1.59,$2.96,$4.45,$5.30,$7.38
,,,100 PZA,50 PZA,25 PZA,20 PZA,10 PZA,10 PZA,5 PZA
,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,
