DELETE,"TORNILLO DRYWALL TRONCO CONICO",,
,,,PUNTA BROCA
,CÓD.,DIM.,E8435
,10,3.5 x 9.5,$11.45
,,,22 MLL
,13,3.5 x 13,$12.63
,,,20 MLL
,19,3.5 x 19,$17.46
,,,14 MLL
,25,3.5 x 25,$19.59
,,,12 MLL
,"PRECIO DE VENTA POR MILLAR
,(INCLUYE IGV)",,
