DELETE,TUERCA HEXAGONAL MÉTRICA RC - CL. 8 PAVONADA,,,,,,,
,,,06,08,10,12,14,16
,CÓD.,,Ø M6,Ø M8,Ø M10,Ø M12,Ø M14,Ø M16
,M0500,,$1.05,$2.86,$5.16,$7.71,$10.94,$14.74
,,,119 CTO,54 CTO,24 CTO,16 CTO,11 CTO,8 CTO
,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,
