DELETE,ARANDELA PLANA MÉTRICA - AC. INOX 304,,,,,,,,
,,,06,08,10,12,16,20,24
,CÓD.,,Ø M6,Ø M8,Ø M10,Ø M12,Ø M16,Ø M20,Ø M24
,I4M1220,,$1.65,$3.39,$6.31,$12.39,$21.62,$31.74,$38.82
,,,300 CTO,150 CTO,70 CTO,40 CTO,20 CTO,14 CTO,8 CTO
,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,
