DELETE,TUERCA ESTRUCTURAL PAVONADA - ASTM 194 2H,,,,,,
,,,08,10,12,14,16
,CÓD.,,"Ø 1/2""","Ø 5/8""","Ø 3/4""","Ø 7/8""","Ø 1"""
,A1585,,$15.84,$28.64,$51.61,$79.01,$113.20
,,,10 CTO,5 CTO,2.5 CTO,2 CTO,1.4 CTO
,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
