REMACHE CIEGO ALA ANCHA,,,
,,E9000,E9013
CÓD.,LARGO,"3/32"" - (2.4)","3/16"" - (4.8)"
01,"7/32"" - (5.6)",$7.68,
,,80 MLL,
08,"1/2"" - (12.7)",,$53.96
,,,10 MLL
10,"5/8"" - (15.9)",,$54.24
,,,3 MLL
12,"3/4"" - (19)",,$57.04
,,,2.5 MLL
15,"15/16"" -
(23.8)",,$64.85
,,,5 MLL
16,"1"" - (25.4)",,$69.66
,,,2.5 MLL
17,"1 1/16"" -
(26.9)",,$75.85
,,,5 MLL
PRECIO DE VENTA POR MILLAR (INCLUYE IGV),,,
