ARANDELA PLANA PESADA,,,,,,
,,E1113,,DIMENSIONES,,
CÓD.,Ø,"ZINCADO CIENTO",CANT.,Ø INT.,Ø EXT.,ESP.
08,"1/2""",,,14.20,35.00,2.50
,,0 CTO,,,,
10,"5/8""",,,17.50,44.50,3.60
,,0 CTO,,,,
12,"3/4""",,,20.90,50.80,3.40
,,0 CTO,,,,
14,"7/8""",,,24.20,57.50,3.50
,,0 CTO,,,,
16,"1""",,,27.00,63.50,4.20
,,0 CTO,,,,
20,"1 1/8""",,,32.00,70.00,4.00
,,0 CTO,,,,
22,"1 1/4""",,,35.00,76.40,4.20
,,0 CTO,,,,
24,"1 3/8""",,,38.50,82.00,5.00
,,0 CTO,,,,
26,"1 1/2""",,,41.50,88.80,5.00
,,0 CTO,,,,
28,"1 3/4""",,,48.10,101.50,4.80
,,0 CTO,,,,
30,"2""",,,54.00,114.00,5.00
,,0 CTO,,,,
PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV),,,,,,
