ARANDELA PLANA PESADA,,,,,,
,,E1110,,DIMENSIONES,,
CÓD.,Ø,"SIN ZINCAR KG.",CANT. X KG.,Ø INT.,Ø EXT.,ESP.
08,"1/2""",$4.90,64,14.20,35.00,2.50
,,25 KGS,,,,
10,"5/8""",$4.90,26,17.50,44.50,3.60
,,25 KGS,,,,
12,"3/4""",$5.39,22,20.90,50.80,3.40
,,25 KGS,,,,
14,"7/8""",$4.90,18,24.20,57.50,3.50
,,25 KGS,,,,
16,"1""",$4.90,12,27.00,63.50,4.20
,,25 KGS,,,,
20,"1 1/8""",$5.51,9,32.00,70.00,4.00
,,25 KGS,,,,
22,"1 1/4""",$5.51,8,35.00,76.40,4.20
,,25 KGS,,,,
24,"1 3/8""",$5.51,7,38.50,82.00,5.00
,,25 KGS,,,,
26,"1 1/2""",$5.51,6,41.50,88.80,5.00
,,25 KGS,,,,
28,"1 3/4""",$5.51,4,48.10,101.50,4.80
,,25 KGS,,,,
30,"2""",$5.51,3,54.00,114.00,5.00
,,25 KGS,,,,
PRECIO DE VENTA POR KG. SON APROXIMADOS (INCLUYE IGV),,,,,,
