ESPÁRRAGO DE ARTILLERO UNC-UNC GR.8,,,,
CÓDIGO,DESCRIPCIÓN,"EMP.
(uds.)","CAJA
(uds.)",P. V.
A20001010,5/8” X 2 1/2”,25,0,$1.27
A20001012,5/8” X 3”,25,0,$1.31
A20001014,5/8” X 3 1/2”,25,0,$1.45
A20001016,5/8” X 4”,25,,$2.25
A20001212,"3/4"" X 3”",25,0,$1.63
A20001214,"3/4"" X 3 1/2”",25,0,$1.65
A20001216,"3/4"" X 4”",25,0,$2.19
A20001218,"3/4"" X 4 1/2”",25,0,$2.47
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,
