"Marca: Mercedes-Benz
AB4Q000026
Modelo: Atego
Dim.: Ø22 x Ø74 x 96 mm.
Ubicación: 
Hoja 
de 
muelle 
delantero/posterior
Dureza: Shore 70A 
EMP. 
CAJA
P
. V.
(uds.)
4
50 PZA
$14.54
PRECIO DE VENTA POR UNIDAD
Imagen referencial","Marca: Volvo
AB4Q000027
Modelo: FH12(01-05), 
FH13(05-12), FH16(06-12), 
FM9(05-09), FM11(09-12), 
FM13(05-12), FMX 6x2
Dim.: Ø24 x Ø61 x 96 mm.
Ubicación: 
Hoja 
de 
muelle 
delantero
Dureza: Shore 70A 
EMP. 
CAJA
P
. V.
(uds.)
1
5 PZA
$36.14
PRECIO DE VENTA POR UNIDAD
Imagen referencial"
"",""
"",""
"",""
"Marca: Mercedes-Benz
AB4Q000028
Modelo: Actros, Antos, Arocs, 
Axor
Dim.: Ø24 x Ø63 x 106 mm.
Ubicación: 
Hoja 
de 
muelle 
posterior
Dureza: Shore 70A 
EMP. 
CAJA
P
. V.
(uds.)
1
5 PZA
$17.49
PRECIO DE VENTA POR UNIDAD
Imagen referencial","Marca: Mercedes-Benz 
AB4Q000029
Modelo: Actros, Antos, Arocs, 
Axor, Serie SK/MK/NG
Dim.: Ø24 x Ø63 x 96 mm.
Ubicación: 
Hoja 
de 
muelle 
delantero
Dureza: Shore 70A 
EMP. 
CAJA
P
. V.
(uds.)
1
5 PZA
$18.73
PRECIO DE VENTA POR UNIDAD
Imagen referencial"
"",""
"",""
"",""
"Marca: Volvo
AB4Q000030
Modelo: FM7(98-01), FH12(93-05), 
FH16(93-06), FM9(01-05), FM10, 
FM12(98-05), FH/FM(05-12), FMX, 
FL6(00-06) - Premium II TR/PR/ DXi 7, 
Kerax /DXi 11/13, C/K
Dim.: Ø26 x Ø56 x 112 mm.
Ubicación: Hoja de muelle posterior
Dureza: Shore 70A 
EMP. 
CAJA
P
. V.
(uds.)
1
5 PZA
$16.34
PRECIO DE VENTA POR UNIDAD
Imagen referencial","Marca: Mercedes-Benz
AB4Q000031
Modelo: O370, O371
Dim.: Ø26 x Ø59 x 10 mm.
Ubicación: 
Hoja 
de 
muelle 
posterior
Dureza: Shore 70A 
EMP. 
CAJA
P
. V.
(uds.)
8
24 PZA
$6.32
PRECIO DE VENTA POR UNIDAD
Imagen referencial"
"",""
"",""
"",""
"Marca: Mercedes-Benz
AB4Q000032
Modelo: Accelo
Dim.: Ø30 x Ø55 x 86 mm.
Ubicación: 
Hoja 
de 
muelle 
posterior
Posición: Delantera
Dureza: Shore 70A 
EMP. 
CAJA
P
. V.
(uds.)
4
8 PZA
$8.50
PRECIO DE VENTA POR UNIDAD
Imagen referencial","Marca: Mercedes-Benz
AB4Q000033
Modelo: 709, 710, 712, 913, 914, 
1114, Serie 
L700/L900/LO800/OF800
Dim.: Ø30 x Ø57 x 87 mm.
Ubicación: 
Hoja 
de 
muelle 
posterior
Posición: Posterior
Dureza: Shore 70A 
EMP. 
CAJA
P
. V.
(uds.)
12
24 PZA
$4.24
PRECIO DE VENTA POR UNIDAD
Imagen referencial"
"",""
"",""
"",""
