Unnamed: 0,PERNO DE RUEDA,Unnamed: 1,Unnamed: 2,TUERCA R/L
,EMP.,P. V.,P. V.,CÓDIGO R/L A010010/11
CÓDIGO R/L,CAJA,,,
,(uds.),CL. 10.9,CL. 12.9,EMP. (uds.) 25
