Unnamed: 0,Unnamed: 1,BOCINAS BIMETÁLICAS,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Ø INT.,Ø EXT. LONG.,EMP.,,
CÓDIGO,,,,CAJA,P. V.
,(mm.),(mm.) (mm.),(uds.),,
