TUERCA HEXAGONAL MÉTRICA RC - AC. INOX 304,,,,
 , , 20, 24, 30
CÓD. I4M0220, ,Ø M20 $136.84,Ø M24 $246.94,Ø M30 
 ARANDELA PLANA MÉTRICA - AC. INOX 304, ,4 CTO ,2.5 CTO , 
 CÓD., ,20 Ø M20,24 Ø M24,30 Ø M30
I4M1220 , ,$31.74 14 CTO,$38.82 8 CTO, 
ARANDELA PRESIÓN MÉTRICA - AC. INOX 304 , , 20, 24, 30
CÓD. I4M1420, ,Ø M20 $37.32,Ø M24 $64.98,Ø M30 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), ,15 CTO ,8 CTO , 
