PRISIONERO ALLEN PULGADA UNC - AC. INOX 304,,,,,
 , , I4E3803, I4E3804, I4E3805, I4E3806
CÓD. 03,LARGO "3/16""","Ø 3/16""" $4.41,"Ø 1/4""" ,"Ø 5/16""" ,"Ø 3/8""" 
 04, "1/4""",CTO , , $32.07, 
 05, "5/16""", , $5.69,CTO , 
 16, "1""", ,CTO , , $48.92
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , ,CTO 
