REMACHE CIEGO,,,,,
 , , E9000, E9002, E9003, E9004
CÓD. 04,LARGO "1/4"" - (6.3)","1/8"" - (3.2)" $11.88,"5/32"" - (4.2)" $15.66,"3/16"" - (4.8)" ,"1/4"" - (6.3)" 
 05, "5/16"" - (8.0)",20 MLL $12.30,14 MLL $16.41, , 
 06, "3/8"" - (9.5)",20 MLL $12.65,20 MLL $17.09, $23.71, $81.74
 08, "1/2"" - (12.7)",20 MLL $12.91,20 MLL $18.10,10 MLL $26.48,5 MLL $72.71
 10, "5/8"" - (15.9)",20 MLL $15.21,10 MLL $21.49,10 MLL $29.23,5 MLL 
 12, "3/4"" - (19.0)",20 MLL $15.79,10 MLL $22.86,10 MLL $32.07, $83.59
 16, "1 "" - (25.4)",20 MLL $18.37,10 MLL $25.35,10 MLL $36.17,5 MLL $85.95
 17, "1 1/16""(26.9)",10 MLL ,4.5 MLL ,5 MLL $40.64,MLL 
 PRECIO DE VENTA POR MILLAR (INCLUYE IGV), , , ,10 MLL , 
