TUERCA HEXAGONAL MÉTRICA RC - CL. 8 PAVONADA,,,,,,,
 , , 06, 08, 10, 12, 14, 16
CÓD. M0500, ,Ø M6 $1.05,Ø M8 $2.86,Ø M10 $5.16,Ø M12 $7.71,Ø M14 $10.94,Ø M16 $14.74
 ARANDELA PLANA ESTÁNDAR MÉTRICA RC - CL. 8.8 TROPICALIZADA, ,119 CTO ,54 CTO ,24 CTO ,16 CTO ,11 CTO ,8 CTO 
 CÓD., ,06 Ø M6,08 Ø M8,10 Ø M10,12 Ø M12,14 Ø M14,16 Ø M16
M1209 , ,$0.55 CTO,$0.96 CTO,$1.70 CTO,$3.14 CTO,$4.99 CTO,$6.04 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,
