REMACHE CIEGO ALA ANCHA,,,
 , , E9000, E9013
CÓD. 01,LARGO "7/32"" - (5.6)","3/32"" - (2.4)" $7.68,"3/16"" - (4.8)" 
 08, "1/2"" - (12.7)",80 MLL , $53.96
 10, "5/8"" - (15.9)", ,10 MLL $54.24
 12, "3/4"" - (19)", ,3 MLL $57.04
 15, "15/16"" -
(23.8)" , ,$64.85 , 5 MLL
16 ,"1"" - (25.4)" , ,$69.66 2.5 MLL
17 (26.9)","1 1/16"" - , $75.85
 PRECIO DE VENTA POR MILLAR (INCLUYE IGV), , ,5 MLL 
