TUERCA HEXAGONAL MÉTRICA RC PAVONADO,,,,,,
 , , 16, 18, 20, 22, 24
CÓD. M0500, ,Ø M16 $14.74,Ø M18 $20.72,Ø M20 $26.48,Ø M22 $31.92,Ø M24 $43.94
 ARANDELA PLANA ESTÁNDAR MÉTRICA TROPICALIZADO, ,8 CTO ,5.5 CTO ,4.5 CTO ,3 CTO ,2.5 CTO 
 CÓD., ,16 Ø M16,18 Ø M18,20 Ø M20,22 Ø M22,24 Ø M24
M1209 , ,$6.04 CTO,$8.24 CTO,$9.59 CTO,$8.93 CTO,$16.47 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
