BARRA ROSCADA PULGADA UNC 1.00 m - AC. INOX 316,,,,,,,,,
 , , 04, 05, 06, 08, 10, 12, 14, 16
CÓD. I6E2800, ,"Ø 1/4""" ,"Ø 5/16""" ,"Ø 3/8""" ,"Ø 1/2""" $25.63,"Ø 5/8""" $41.71,"Ø 3/4""" $38.49,"Ø 7/8""" $81.75,"Ø 1""" $111.97
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , ,50 PZA ,20 PZA ,15 PZA ,10 PZA ,5 PZA 
