TUERCA HEXAGONAL PULGADA UNC - AC. INOX 316,,,,,,,,,
 , , 04, 05, 06, 08, 10, 12, 14, 16
CÓD. I6E0200, ,"Ø 1/4""" $9.20,"Ø 5/16""" $14.09,"Ø 3/8""" $18.90,"Ø 1/2""" $45.73,"Ø 5/8""" $94.00,"Ø 3/4""" $146.93,"Ø 7/8""" $219.31,"Ø 1""" $331.30
 ARANDELA PLANA PULGADA - AC. INOX 316, ,90 CTO ,60 CTO ,40 CTO ,15 CTO ,6 CTO ,4 CTO ,3 CTO ,1.5 CTO 
 CÓD., ,04 "Ø 1/4""",05 "Ø 5/16""",06 "Ø 3/8""",08 "Ø 1/2""",10 "Ø 5/8""",12 "Ø 3/4""",14 "Ø 7/8""",16 "Ø 1"""
I6E1200 , ,$5.17 150 CTO,$5.48 120 CTO,$7.53 80 CTO,$17.96 30 CTO,$34.36 25 CTO,$48.65 11 CTO,$71.45 8 CTO,$96.98 5 CTO
ARANDELA PRESIÓN PULGADA - AC. INOX 316 , , 04, 05, 06, 08, 10, 12, 14, 16
CÓD. I6E1400, ,"Ø 1/4""" $2.40,"Ø 5/16""" $4.07,"Ø 3/8""" $7.10,"Ø 1/2""" $15.51,"Ø 5/8""" $24.85,"Ø 3/4""" $40.99,"Ø 7/8""" $60.92,"Ø 1""" $100.91
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), ,250 CTO ,120 CTO ,90 CTO ,50 CTO ,20 CTO ,15 CTO ,8 CTO ,6 CTO 
