BARRA ROSCADA MÉTRICA UNC 1.00 - AC. INOX 304,,,,,,,,
 , , 06, 08, 10, 12, 16, 20, 24
CÓD. I4M2800, ,Ø M6 $2.87,Ø M8 $4.13,Ø M10 $6.48,Ø M12 $9.45,Ø M16 $19.25,Ø M20 $29.97,Ø M24 $43.24
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), ,100 PZA ,50 PZA ,25 PZA ,15 PZA ,5 PZA ,3 PZA ,1 PZA 
