TUERCA HEXAGONAL MÉTRICA RF - CL. 10 PAVONADA,,,,,,,,,,,
 , , 10, 10, 12, 12, 14, 16, 18, 20, , 
CÓD. M0802, ,M10 X 1.00 ,M10 X 1.25 ,M12 X 1.25 ,M12 X 1.50 ,M14 X 1.50 ,M16 X 1.50 ,M18 X 1.50 ,M20 x 1.50 $33.67,M22 x 1.50 ,M24 x 1.50 
 ARANDELA PLANA ESTÁNDAR MÉTRICA - TROPICALIZADA, , , , , , , , ,4.5 CTO , , 
 CÓD., ,10 M10,10 M10,12 M12,12 M12,14 M14,16 M16,18 M18,20 M20, M22, M24
M1209 , ,$1.70 CTO,$1.70 CTO,$3.14 CTO,$3.14 CTO,$4.99 CTO,$6.04 CTO,$8.24 CTO,$9.59 CTO, , 
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,,
