TUERCA HEXAGONAL MÉTRICA RC PAVONADO,,,,,,
 , , 06, 08, 10, 12, 14
CÓD. M0500, ,Ø M6 $1.05,Ø M8 $2.86,Ø M10 $5.16,Ø M12 $7.71,Ø M14 $10.94
 ARANDELA PLANA ESTÁNDAR MÉTRICA TROPICALIZADO, ,119 CTO ,54 CTO ,24 CTO ,16 CTO ,11 CTO 
 CÓD., ,06 Ø M6,08 Ø M8,10 Ø M10,12 Ø M12,14 Ø M14
M1209 , ,$0.55 CTO,$0.96 CTO,$1.70 CTO,$3.14 CTO,$4.99 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
