"TAPA SUJETADORA PARA
 CALAMINA", , 
V050030 NEGRO,V050031 GRIS,V050032 ROJO OCRE
$17.76 0.5 MLL,$17.76 0.5 MLL,$17.76 0.5 MLL
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,
