TUERCA ESTRUCTURAL PAVONADA - ASTM 194 2H,,,,,,
 , , 08, 10, 12, 14, 16
CÓD. A1585, ,"Ø 1/2""" $15.84,"Ø 5/8""" $28.64,"Ø 3/4""" $51.61,"Ø 7/8""" $79.01,"Ø 1""" $113.20
 ARANDELA PLANA PAVONADA - ASTM F436, ,10 CTO ,5 CTO ,2.5 CTO ,2 CTO ,1.4 CTO 
 CÓD., ,08 "Ø 1/2""",10 "Ø 5/8""",12 "Ø 3/4""",14 "Ø 7/8""",16 "Ø 1"""
E1205 , ,$6.81 30 CTO,$13.04 14 CTO,$15.91 15 CTO,$25.88 8 CTO,$32.58 6 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
