TUERCA HEXAGONAL PULGADA UNC - GR. 2 PAVONADA,,,,,,
 , , 04, 05, 06, 07, 08
CÓD. E0203, ,"Ø 5/8""" $1.55,"Ø 3/4""" $2.31,"Ø 7/8""" $3.43,"Ø 1""" $6.40,"Ø 3/4""" $8.09
 ARANDELA PLANA ESTÁNDAR PULGADA - GR. 2 PAVONADA, ,80 CTO ,50 CTO ,35 CTO ,20 CTO ,15 CTO 
 CÓD., ,04 "Ø 5/8""",05 "Ø 3/4""",06 "Ø 7/8""",07 "Ø 1""",08 "Ø 3/4"""
E1203 , ,$4.54 0 CTO,$3.58 0 CTO,$4.18 0 CTO,$5.22 0 CTO,$8.15 0 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
