TUERCA HEXAGONAL PULGADA UNC - GR. 8 PAVONADA,,,,,,,,
 , , 04, 05, 06, 07, 08, 09, 10
CÓD. E0800, ,"Ø 1/4""" ,"Ø 5/16""" $2.62,"Ø 3/8""" $3.96,"Ø 7/16""" $6.99,"Ø 1/2""" $9.13,"Ø 9/16""" $14.84,"Ø 5/8""" $18.27
 ARANDELA PLANA ESTÁNDAR PULGADA TROPICALIZADA, , ,50 CTO ,36 CTO ,20 CTO ,15 CTO ,9.5 CTO ,8 CTO 
 CÓD., ,04 "Ø 1/4""",05 "Ø 5/16""",06 "Ø 3/8""",07 "Ø 7/16""",08 "Ø 1/2""",09 "Ø 9/16""",10 "Ø 5/8"""
E1101 , ,$3.43 0 CTO,$3.73 0 CTO,$4.37 0 CTO,$5.45 0 CTO,$8.52 0 CTO,$9.24 0 CTO,$12.98 0 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,
