BARRA ROSCADA PULGADA UNC 3.66 m - AC. INOX 304,,,,,,,,,,
 , , 04, 05, 06, 07, 08, 10, 12, 14, 16
CÓD. I4E2840, ,"Ø 1/4""" $9.85,"Ø 5/16""" $14.79,"Ø 3/8""" $22.51,"Ø 7/16""" ,"Ø 1/2""" $41.08,"Ø 5/8""" $64.14,"Ø 3/4""" $94.80,"Ø 7/8""" $134.37,"Ø 1""" $175.78
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), ,1 PZA ,1 PZA ,1 PZA , ,1 PZA ,1 PZA ,1 PZA ,1 PZA ,1 PZA 
