BARRA ROSCADA PULGADA UNC 1.00 m - AC. INOX 304,,,,,,,,,,
 , , 04, 05, 06, 07, 08, 10, 12, 14, 16
CÓD. I4E2820, ,"Ø 1/4""" $2.75,"Ø 5/16""" $4.43,"Ø 3/8""" $6.54,"Ø 7/16""" ,"Ø 1/2""" $11.88,"Ø 5/8""" $18.86,"Ø 3/4""" $27.61,"Ø 7/8""" $37.94,"Ø 1""" $49.41
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), ,100 PZA ,50 PZA ,25 PZA , ,20 PZA ,10 PZA ,5 PZA ,5 PZA ,3 PZA 
