TUERCA HEXAGONAL PULGADA UNC - GR. 2 PAVONADA,,,,,,,
 , , 04, 05, 06, 07, 08, 10
CÓD. E0203, ,"Ø 1/4""" $1.55,"Ø 5/16""" $2.31,"Ø 3/8""" $3.43,"Ø 7/16""" $6.40,"Ø 1/2""" $8.09,"Ø 9/16""" $15.72
 ARANDELA PLANA ESTÁNDAR PULGADA - GR. 2 PAVONADA, ,80 CTO ,50 CTO ,35 CTO ,20 CTO ,15 CTO ,8 CTO 
 CÓD., ,04 "Ø 1/4""",05 "Ø 5/16""",06 "Ø 3/8""",07 "Ø 7/16""",08 "Ø 1/2""",10 "Ø 9/16"""
E1203 , ,$4.54 0 CTO,$3.58 0 CTO,$4.18 0 CTO,$5.22 0 CTO,$8.15 0 CTO,$12.41 0 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,
