BARRA ROSCADA MÉTRICA ZINCADA 1 M.,,,,,,,,
 , , 06, 08, 10, 12, 14, 16, 20
CÓD. M2800, ,Ø M6 $0.64,Ø M8 $1.19,Ø M10 $1.59,Ø M12 $2.96,Ø M14 $4.45,Ø M16 $5.30,Ø M20 $7.38
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), ,100 PZA ,50 PZA ,25 PZA ,20 PZA ,10 PZA ,10 PZA ,5 PZA 
