PERNO HEXAGONAL PULGADA UNC - GR. 2 PAVONADO,,,,,,
 , , E2210, E2212, E2214, E2216, E2292
CÓD. 32,LARGO "8""","Ø 5/8""" $180.20,"Ø 3/4""" $254.04,"Ø 7/8""" $373.89,"Ø 1""" $483.39,"Ø 3/4"" RC" 
 36, "9""",0.8 CTO $193.59,0.5 CTO $284.83,0.37 CTO ,0.28 CTO $534.47, 
 40, "10""",0.7 CTO $211.70,0.45 CTO $312.89, $478.60,0.25 CTO $619.77, 
 44, "11""",0.6 CTO $232.60,0.4 CTO $358.27,0.25 CTO ,0.2 CTO , 
 48, "12""",0.5 CTO $254.04,0.38 CTO $373.81, , , 
 52, "13""",0.5 CTO $301.51,0.3 CTO , , , 
 56, "14""",0.4 CTO $309.17, , , , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), ,0.44 CTO , , , , 
