PERNO SOCKET CAB. CILÍNDRICA PULGADA UNC - AC. INOX 316,,,,,,,,
 , , , I6E3604, I6E3605, I6E3606, , I6E3608, 
CÓD. 01,LARGO "1/2""","Ø 3/16""" ,"Ø 1/4""" ,"Ø 5/16""" ,"Ø 3/8""" ,"Ø 7/16""" ,"Ø 1/2""" ,"Ø 5/8""" 
 02, "5/8""", , , , , , , 
 03, "3/4""", , , , , , , 
 04, "1""", , $16.83, $30.24, $44.79, , , 
 05, "1 1/4""", ,25 CTO ,20 CTO ,16 CTO , , , 
 06, "1 1/2""", , $23.42, $37.52, $57.30, , $117.79, 
 08, "2""", ,22 CTO $29.38,15 CTO $48.66,12 CTO $72.31, ,14 CTO $141.20, 
 10, "2 1/2""", ,15 CTO ,10 CTO ,8 CTO , ,10 CTO $169.40, 
 12, "3""", , , , , ,6 CTO , 
 , "3 1/4""", , , , , , , 
 14, "3 1/2""", , , , , , , 
 16, "4""", , , , , , , 
 18, "4 1/2""", , , , , , , 
 20, "5""", , , , , , , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , , , , 
