PERNO ESTRUCTURAL PAVONADO - ASTM A325,,,,,,
 , , E2008, E2010, E2012, E2014, E2016
CÓD. 04,LARGO "4""","Ø 1/2""" ,"Ø 5/8""" ,"Ø 3/4""" ,"Ø 7/8""" ,"Ø 1""" 
 05, "4 1/4""", $26.00, , , , 
 06, "4 1/2""",5.7 CTO $30.34, $48.84, $78.89, , 
 07, "4 3/4""",4.5 CTO $33.22,2.8 CTO $55.25,1.5 CTO $85.95, , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), ,4 CTO ,2 CTO ,1 CTO , , 
