TUERCA HEXAGONAL FLANGE MÉTRICA RC - CL. 5.8 TROPICALIZADA,,,,,,,,,,
 , , 05, 06, 08, , 10, , , 12, 14
CÓD. M0300, ,Ø M5 $1.20,Ø M6 $2.11,Ø M8 $4.58, ,Ø M8 $7.33, , ,Ø M8 $10.09,Ø M8 $21.65
 TUERCA HEXAGONAL FLANGE MÉTRICA RF - CL. 5.8 TROPICALIZADA, ,150 CTO ,100 CTO ,38 CTO , ,25 CTO , , ,13 CTO ,8 CTO 
 CÓD., ,05 Ø M5,06 Ø M6,08 Ø M8, ,10 Ø M8, , ,12 Ø M8,14 Ø M8
M0302 , , , , , ,$5.14 24 CTO, , , ,$21.65 CTO
 , , ,PRECIO DE VENTA POR CIENTO (INCLUYE IGV , , , , ,) , , 
 , , , , , @dinafastener, , , , , 
