CÓD.,,,,,
 M0500, $14.74, $20.72, $26.48, $31.92, $43.94
 ARANDELA PLANA ESTÁNDAR MÉTRICA TROPICALIZADO,8 CTO ,5.5 CTO ,4.5 CTO ,3 CTO ,2.5 CTO 
 CÓD.,16 ,18 ,20 ,22 ,24 
M1209 ,$6.04 CTO,$8.24 CTO,$9.59 CTO,$8.93 CTO,$16.47 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV) , , , , , 
