TUERCA HEXAGONAL PULGADA UNC - GR. 8 PAVONADA,,,,,,,,,,
 , , 05, 06, 07, 08, 09, 10, 12, 14, 16
CÓD. E0802, ,"Ø 5/16""" $2.97,"Ø 3/8""" $4.04,"Ø 7/16""" $7.12,"Ø 1/2""" $9.59,"Ø 9/16""" $15.02,"Ø 5/8""" $18.50,"Ø 3/4""" $29.67,"Ø 7/8""" $48.59,"Ø 1""" $69.66
 ARANDELA PLANA ESTÁNDAR PULGADA TROPICALIZADA, ,55 CTO ,36 CTO ,20 CTO ,20 CTO ,10 CTO ,8 CTO ,5 CTO ,2.5 CTO ,2 CTO 
 CÓD., ,05 "Ø 5/16""",06 "Ø 3/8""",07 "Ø 7/16""",08 "Ø 1/2""",09 "Ø 9/16""",10 "Ø 5/8""",12 "Ø 3/4""",14 "Ø 7/8""",16 "Ø 1"""
E1101 , ,$3.73 0 CTO,$4.37 0 CTO,$5.45 0 CTO,$8.52 0 CTO,$9.24 0 CTO,$12.98 0 CTO,$17.04 0 CTO,$21.81 0 CTO,$25.96 0 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
