TUERCA HEXAGONAL MÉTRICA RC - AC. INOX 304,,,,,,,,
 , , 06, 08, 10, 12, 16, 20, 24
CÓD. I4M0220, ,Ø M6 $5.73,Ø M8 $12.24,Ø M10 $26.54,Ø M12 $40.07,Ø M16 $85.60,Ø M20 $136.84,Ø M24 $246.94
 ARANDELA PLANA MÉTRICA - AC. INOX 304, ,100 CTO ,50 CTO ,24 CTO ,15 CTO ,8 CTO ,4 CTO ,2.5 CTO 
 CÓD., ,06 Ø M6,08 Ø M8,10 Ø M10,12 Ø M12,16 Ø M16,20 Ø M20,24 Ø M24
I4M1220 , ,$1.65 300 CTO,$3.39 150 CTO,$6.31 70 CTO,$12.39 40 CTO,$21.62 20 CTO,$31.74 14 CTO,$38.82 8 CTO
ARANDELA PRESIÓN MÉTRICA - AC. INOX 304 , , 06, 08, 10, 12, 16, 20, 24
CÓD. I4M1420, ,Ø M6 $1.94,Ø M8 $3.63,Ø M10 $5.32,Ø M12 $8.94,Ø M16 $20.31,Ø M20 $37.32,Ø M24 $64.98
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), ,200 CTO ,130 CTO ,80 CTO ,50 CTO ,25 CTO ,15 CTO ,8 CTO 
