CABLE FLEXIBLE NLT VULCANIZADO - ROLLO DE 100 M.,,,,,,
 , FCFXN0220, FCFXN0218, FCFXN0216, FCFXN0214, FCFXN0318, FCFXN0314
COLOR GRIS,#2x20 AWG $69.97,#2x18 AWG $86.99,#2x16 AWG $122.96,#2x14 AWG $178.94,#3x18 AWG $117.94,#3x14 AWG $242.37
 PRECIO DE VENTA POR ROLLO (INCLUYE IGV),RLL ,RLL ,RLL ,RLL ,RLL ,RLL 
