TUERCA HEXAGONAL MÉTRICA RF PAVONADO,,,,,,,,,,
 , , 08, 10, 5210, 5212, 12, 14, 16, 18, 20
CÓD. M0502, ,M8 X 1.00 $2.86,M10 X 1.00 $5.16,M10 X 1.25 ,M12 X 1.25 ,M12 X 1.50 $7.71,M14 X 1.50 $10.94,M16 X 1.50 $14.74,M18 X 1.50 $20.72,M20 X 1.50 
 ARANDELA PLANA ESTÁNDAR MÉTRICA TROPICALIZADO, ,55 CTO ,24 CTO , , ,16 CTO ,12 CTO ,8.5 CTO ,6 CTO , 
 CÓD., ,08 M8,10 M10,5210 M10,5212 M12,12 M12,14 M14,16 M16,18 M18,20 M20
M1209 , ,$0.96 CTO,$1.70 CTO, , ,$3.14 CTO,$4.99 CTO,$6.04 CTO,$8.24 CTO,$9.59 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
