TACOS DE EXPANSIÓN PULGADA - AC. INOX 304,,,,
 I4D100004, I4D100006, I4D100008, I4D100010, I4D100012
"Ø 1/4""" $59.83,"Ø 3/8""" $102.86,"Ø 1/2""" $186.05,"Ø 5/8""" $547.96,"Ø 3/4""" $891.44
20 CTO PRECIO DE VENTA POR CIENTO (INCLUYE IGV),10 CTO ,5 CTO ,2 CTO ,1 CTO 
